joo-nandurkhi0402,THANE-BHIWANDI-GP-joo-nandurkhi
sakhadbhav0408,THANE-SHAHAPUR-GP-sakhadbhav
sane-pali0408,THANE-SHAHAPUR-GP-sane-pali
sapgaon0408,THANE-SHAHAPUR-GP-sapgaon
sarlambe0408,THANE-SHAHAPUR-GP-sarlambe 
sathgaon0408,THANE-SHAHAPUR-GP-sathgaon
savroli.s0408,THANE-SHAHAPUR-GP-savroli (so)
savroli(bu)0408,THANE-SHAHAPUR-GP-savroli(bu)
shahapur0408,THANE-SHAHAPUR-GP-shahapur 
shelawali0408,THANE-SHAHAPUR-GP-shelawali 
shelawali.b0408,THANE-SHAHAPUR-GP-shelawali (ba)
