aajani.kh2401,LATUR-AHEMADPUR-AAJANI (KH)
nagzari2401,LATUR-AHEMADPUR-NAGZARI
nandura.bk2401,LATUR-AHEMADPUR-NANDURA (BK)
nandura.kh2401,LATUR-AHEMADPUR-NANDURA (KH)
narwatwadi2401,LATUR-AHEMADPUR-NARWATWADI
parchanda2401,LATUR-AHEMADPUR-PARCHANDA
ralga2401,LATUR-AHEMADPUR-RALGA
rudha2401,LATUR-AHEMADPUR-RUDHA
ruiee2401,LATUR-AHEMADPUR-RUIEE
salgara2401,LATUR-AHEMADPUR-SALGARA
sangavi.su2401,LATUR-AHEMADPUR-SANGAVI (SU)
satala2401,LATUR-AHEMADPUR-SATALA
sawargan.thot2401,LATUR-AHEMADPUR-SAWARGAN THOT
sawargaon.ro2401,LATUR-AHEMADPUR-SAWARGAON (RO)
sayyadpur2401,LATUR-AHEMADPUR-SAYYADPUR
shenkud2401,LATUR-AHEMADPUR-SHENKUD
shirurtajband2401,LATUR-AHEMADPUR-SHIRUR TAJBAND
shiwankhed.kh2401,LATUR-AHEMADPUR-SHIWANKHED (KH)
sindagi.bk2401,LATUR-AHEMADPUR-SINDAGI (BK)
sindgi.kh2401,LATUR-AHEMADPUR-SINDGI (KH)
sonkhed2401,LATUR-AHEMADPUR-SONKHED
sora2401,LATUR-AHEMADPUR-SORA
sumthana2401,LATUR-AHEMADPUR-SUMTHANA
sunegaon.se2401,LATUR-AHEMADPUR-SUNEGAON (SE)
takalgaon.ka2401,LATUR-AHEMADPUR-TAKALGAON (KA)
talegaon2401,LATUR-AHEMADPUR-TALEGAON
telgaon2401,LATUR-AHEMADPUR-TELGAON
tembhurni2401,LATUR-AHEMADPUR-TEMBHURNI
thodga2401,LATUR-AHEMADPUR-THODGA
tirtha2401,LATUR-AHEMADPUR-TIRTHA
ujana2401,LATUR-AHEMADPUR-UJANA
umarga2401,LATUR-AHEMADPUR-UMARGA (YELLADEVI)
umargakort2401,LATUR-AHEMADPUR-UMARGA KORT
unnijamb2401,LATUR-AHEMADPUR-UNNI JAMB
vaygaon2401,LATUR-AHEMADPUR-VAYGAON
vilegaon2401,LATUR-AHEMADPUR-VILEGAON
walsangi2401,LATUR-AHEMADPUR-WALSANGI
wanjarwadi2401,LATUR-AHEMADPUR-WANJARWADI
warawanti2401,LATUR-AHEMADPUR-WARAWANTI
yeldarwadi2401,LATUR-AHEMADPUR-YELDARWADI
yestar2401,LATUR-AHEMADPUR-YESTAR
aalmala2402,LATUR-AUSA-AALMALA
aanandwadi2402,LATUR-AUSA-AANANDWADI
aandora2402,LATUR-AUSA-AANDORA
aapchunda2402,LATUR-AUSA-AAPCHUNDA
ashiv2402,LATUR-AUSA-ASHIV
banegaon2402,LATUR-AUSA-BANEGAON
barhanpur2402,LATUR-AUSA-BARHANPUR
belkund2402,LATUR-AUSA-BELKUND
bhada2402,LATUR-AUSA-BHADA
bhangewadi2402,LATUR-AUSA-BHANGEWADI
bheta2402,LATUR-AUSA-BHETA
bhusani2402,LATUR-AUSA-BHUSANI
birwali2402,LATUR-AUSA-BIRWALI
borfal2402,LATUR-AUSA-BORFAL
borgaon.n2402,LATUR-AUSA-BORGAON (N)
budhoda2402,LATUR-AUSA-BUDHODA
chalburga2402,LATUR-AUSA-CHALBURGA
chincholijogan2402,LATUR-AUSA-CHINCHOLI JOGAN
chincholikajale2402,LATUR-AUSA-CHINCHOLI KAJALE
chincholi.son2402,LATUR-AUSA-CHINCHOLI SON
chincholi.tapse2402,LATUR-AUSA-CHINCHOLI TAPSE
dapegaon2402,LATUR-AUSA-DAPEGAON
dawatpur2402,LATUR-AUSA-DAWATPUR
devtala2402,LATUR-AUSA-DEVTALA
dhanora2402,LATUR-AUSA-DHANORA
ekambi2402,LATUR-AUSA-EKAMBI
ekambi.tanda2402,LATUR-AUSA-EKAMBI TANDA
erandi2402,LATUR-AUSA-ERANDI
fattepur2402,LATUR-AUSA-FATTEPUR
ganjankheda2402,LATUR-AUSA-GANJANKHEDA
gondri2402,LATUR-AUSA-GONDRI
gubal2402,LATUR-AUSA-GUBAL
gulkheda2402,LATUR-AUSA-GULKHEDA
haregaon2402,LATUR-AUSA-HAREGAON
hasala2402,LATUR-AUSA-HASALA
hasalgan2402,LATUR-AUSA-HASALGAN
hasegaon2402,LATUR-AUSA-HASEGAON
hasegaonwadi2402,LATUR-AUSA-HASEGAONWADI
hipparga2402,LATUR-AUSA-HIPPARGA
hipparsoga2402,LATUR-AUSA-HIPPARSOGA
holi2402,LATUR-AUSA-HOLI
jaifal2402,LATUR-AUSA-JAIFAL
jainagar2402,LATUR-AUSA-JAINAGAR
jamalpur2402,LATUR-AUSA-JAMALPUR
jawalga.pom2402,LATUR-AUSA-JAWALGA (POM)
jawali2402,LATUR-AUSA-JAWALI
kalmatha2402,LATUR-AUSA-KALMATHA
kanheri2402,LATUR-AUSA-KANHERI
karjgaon2402,LATUR-AUSA-KARJGAON
karla2402,LATUR-AUSA-KARLA
kawali2402,LATUR-AUSA-KAWALI
kawatha.kej2402,LATUR-AUSA-KAWATHA KEJ
kawatha.latur2402,LATUR-AUSA-KAWATHA LATUR
kharosa2402,LATUR-AUSA-KHAROSA
khuntegaon2402,LATUR-AUSA-KHUNTEGAON
killari2402,LATUR-AUSA-KILLARI
kininaware2402,LATUR-AUSA-KININAWARE
kinithot2402,LATUR-AUSA-KINITHOT
korangala2402,LATUR-AUSA-KORANGALA
kumatha2402,LATUR-AUSA-KUMATHA
lakhangaon2402,LATUR-AUSA-LAKHANGAON
lamjana2402,LATUR-AUSA-LAMJANA
limbala.dau2402,LATUR-AUSA-LIMBALA DAU
lodga2402,LATUR-AUSA-LODGA
lohata2402,LATUR-AUSA-LOHATA
malkondji2402,LATUR-AUSA-MALKONDJI
malumbra2402,LATUR-AUSA-MALUMBRA
mangrul2402,LATUR-AUSA-MANGRUL
masalga.kh2402,LATUR-AUSA-MASALGA (KH)
masurdi2402,LATUR-AUSA-MASURDI
matola2402,LATUR-AUSA-MATOLA
mogarga2402,LATUR-AUSA-MOGARGA
nagarsoga2402,LATUR-AUSA-NAGARSOGA
nandurga2402,LATUR-AUSA-NANDURGA
pardhewadi2402,LATUR-AUSA-PARDHEWADI
ramegaon2402,LATUR-AUSA-RAMEGAON
samdarga2402,LATUR-AUSA-SAMDARGA
sarni2402,LATUR-AUSA-SARNI
sarola2402,LATUR-AUSA-SAROLA
satadharwadi2402,LATUR-AUSA-SATADHARWADI
selu2402,LATUR-AUSA-SELU
shivani.l2402,LATUR-AUSA-SHIVANI LAKH
shiwali2402,LATUR-AUSA-SHIWALI
shivani.b2402,LATUR-AUSA-SHIWANI (BU)
sindala.jahgir2402,LATUR-AUSA-SINDALA (JAHGIR)
sindala.lo2402,LATUR-AUSA-SINDALA (LO)
sindalwadi2402,LATUR-AUSA-SINDALWADI
sirsal2402,LATUR-AUSA-SIRSAL
taka2402,LATUR-AUSA-TAKA
talni2402,LATUR-AUSA-TALNI
tambarwadi2402,LATUR-AUSA-TAMBARWADI
tawashi.tad2402,LATUR-AUSA-TAWASHI TAD
tungi.bu2402,LATUR-AUSA-TUNGI (BU)
ujani2402,LATUR-AUSA-UJANI
umbadga2402,LATUR-AUSA-UMBADGA
umbadga.kh2402,LATUR-AUSA-UMBADGA (KH)
utaka2402,LATUR-AUSA-UTAKA
utti.bk2402,LATUR-AUSA-UTTI (BK)
wadji2402,LATUR-AUSA-WADJI
wagholi2402,LATUR-AUSA-WAGHOLI
wangaji2402,LATUR-AUSA-WANGAJI
wanwada2402,LATUR-AUSA-WANWADA
warwada2402,LATUR-AUSA-WARWADA
yakatpur2402,LATUR-AUSA-YAKATPUR
yalwat2402,LATUR-AUSA-YALWAT
yeli2402,LATUR-AUSA-YELI
yellori2402,LATUR-AUSA-YELLORI
yelloriwadi2402,LATUR-AUSA-YELLORIWADI
aajansonda.kh2403,LATUR-CHAKUR-AAJANSONDA (KH)
aanandwadi2403,LATUR-CHAKUR-AANANDWADI
aashta2403,LATUR-CHAKUR-AASHTA
aatola2403,LATUR-CHAKUR-AATOLA
ajansonda.bk2403,LATUR-CHAKUR-AJANSONDA (BK)
algarwadi2403,LATUR-CHAKUR-ALGARWADI
ambulga2403,LATUR-CHAKUR-AMBULGA
bansarola2403,LATUR-CHAKUR-BANSAROLA
bawalgaon2403,LATUR-CHAKUR-BAWALGAON
belgaon2403,LATUR-CHAKUR-BELGAON
bhatsangavi2403,LATUR-CHAKUR-BHATSANGAVI
bolegaon.kh2403,LATUR-CHAKUR-BOLEGAON (KH)
borgaon.bk2403,LATUR-CHAKUR-BORGAON (BK)
bothi2403,LATUR-CHAKUR-BOTHI
brahmawadi2403,LATUR-CHAKUR-BRAHMAWADI
bramhawadi2403,LATUR-CHAKUR-BRAMHAWADI
chakur2403,LATUR-CHAKUR-CHAKUR
chapoli2403,LATUR-CHAKUR-CHAPOLI
dapkyal2403,LATUR-CHAKUR-DAPKYAL
devangra2403,LATUR-CHAKUR-DEVANGRA
dongaraj2403,LATUR-CHAKUR-DONGARAJ
ganjur2403,LATUR-CHAKUR-GANJUR
ganjurwadi2403,LATUR-CHAKUR-GANJURWADI
gharni2403,LATUR-CHAKUR-GHARNI
gharola2403,LATUR-CHAKUR-GHAROLA
hadoli2403,LATUR-CHAKUR-HADOLI
hali.kh2403,LATUR-CHAKUR-HALI (KH)
hanmantjawalga2403,LATUR-CHAKUR-HANMANTJAWALGA
hippalner2403,LATUR-CHAKUR-HIPPALNER
jadhala2403,LATUR-CHAKUR-JADHALA
jamalpur.kh2403,LATUR-CHAKUR-JAMALPUR (KH)
janwal2403,LATUR-CHAKUR-JANWAL
kabansangavi2403,LATUR-CHAKUR-KABANSANGAVI
kadmuli2403,LATUR-CHAKUR-KADMULI
kalkoti2403,LATUR-CHAKUR-KALKOTI
kawathali2403,LATUR-CHAKUR-KAWATHALI
kendrewadi2403,LATUR-CHAKUR-KENDREWADI
latur.road2403,LATUR-CHAKUR-LATUR ROAD
limbalwadi2403,LATUR-CHAKUR-LIMBALWADI
mahalangi2403,LATUR-CHAKUR-MAHALANGI
mahalangrawadi2403,LATUR-CHAKUR-MAHALANGRAWADI
mahalngra2403,LATUR-CHAKUR-MAHALNGRA
mahandol2403,LATUR-CHAKUR-MAHANDOL
mandurki2403,LATUR-CHAKUR-MANDURKI
masnerwadi2403,LATUR-CHAKUR-MASNERWADI
mohanal2403,LATUR-CHAKUR-MOHANAL
mohdal2403,LATUR-CHAKUR-MOHDAL
murambi2403,LATUR-CHAKUR-MURAMBI
nagadarwadi2403,LATUR-CHAKUR-NAGADARWADI
nageshwadi2403,LATUR-CHAKUR-NAGESHWADI
naigaon2403,LATUR-CHAKUR-NAIGAON
nalegaon2403,LATUR-CHAKUR-NALEGAON
nandagaon2403,LATUR-CHAKUR-NANDAGAON
rachannawadi2403,LATUR-CHAKUR-RACHANNAWADI
raiwadi2403,LATUR-CHAKUR-RAIWADI
ramwadi2403,LATUR-CHAKUR-RAMWADI
rohina2403,LATUR-CHAKUR-ROHINA
shelgaon2403,LATUR-CHAKUR-SHELGAON
shirnal2403,LATUR-CHAKUR-SHIRNAL
shivani.m2403,LATUR-CHAKUR-SHIVANI (M)
shivankhed2403,LATUR-CHAKUR-SHIVANKHED
sugaon2403,LATUR-CHAKUR-SUGAON
takalgaon2403,LATUR-CHAKUR-TAKALGAON
tirthawadi2403,LATUR-CHAKUR-TIRTHAWADI
tiwaghal2403,LATUR-CHAKUR-TIWAGHAL
tiwatghyal2403,LATUR-CHAKUR-TIWATGHYAL
ujalamb2403,LATUR-CHAKUR-UJALAMB
wadgaon.e2403,LATUR-CHAKUR-WADGAON (E)
wadwalnaganath2403,LATUR-CHAKUR-WADWALNAGANATH
wagholi2403,LATUR-CHAKUR-WAGHOLI
zari.bk2403,LATUR-CHAKUR-ZARI (BK)
zari.kh2403,LATUR-CHAKUR-ZARI (KH)
aachawala2404,LATUR-DEONI-AACHAWALA
aajani2404,LATUR-DEONI-AAJANI
aambanagar2404,LATUR-DEONI-AAMBANAGAR
aambegaon2404,LATUR-DEONI-AAMBEGAON
aanandwadi2404,LATUR-DEONI-AANANDWADI
aanantwadi2404,LATUR-DEONI-AANANTWADI
batnpur2404,LATUR-DEONI-BATNPUR
bolegaon2404,LATUR-DEONI-BOLEGAON
bombali.kh2404,LATUR-DEONI-BOMBALI (KH)
bopani2404,LATUR-DEONI-BOPANI
borol2404,LATUR-DEONI-BOROL
chawan2404,LATUR-DEONI-CHAWAN HIPPARGA
darewadi2404,LATUR-DEONI-DAREWADI
dawanhipparga2404,LATUR-DEONI-DAWANHIPPARGA
deoni.bk2404,LATUR-DEONI-DEONI (BK)
deoni.kh2404,LATUR-DEONI-DEONI (KH)
dhanegaon2404,LATUR-DEONI-DHANEGAON
dongarewadi2404,LATUR-DEONI-DONGAREWADI
gaudgaon2404,LATUR-DEONI-GAUDGAON
gurdhal2404,LATUR-DEONI-GURDHAL
gurnal2404,LATUR-DEONI-GURNAL
hanchanal2404,LATUR-DEONI-HANCHANAL
helamb2404,LATUR-DEONI-HELAMB
hisamnagar2404,LATUR-DEONI-HISAMNAGAR
honali2404,LATUR-DEONI-HONALI
ieendral2404,LATUR-DEONI-IEENDRAL
jawalga2404,LATUR-DEONI-JAWALGA
kamalwadi2404,LATUR-DEONI-KAMALWADI
kamarodinpur2404,LATUR-DEONI-KAMARODINPUR
kawathala2404,LATUR-DEONI-KAWATHALA
konali2404,LATUR-DEONI-KONALI
lasona2404,LATUR-DEONI-LASONA
manki2404,LATUR-DEONI-MANKI
nagaral2404,LATUR-DEONI-NAGARAL
nagatirthwadi2404,LATUR-DEONI-NAGATIRTHWADI
neknal2404,LATUR-DEONI-NEKNAL
sangam2404,LATUR-DEONI-SANGAM
sawargaon2404,LATUR-DEONI-SAWARGAON
sayyadpur2404,LATUR-DEONI-SAYYADPUR
sindhikamat2404,LATUR-DEONI-SINDHIKAMAT
takli2404,LATUR-DEONI-TAKLI
talegaon.bho2404,LATUR-DEONI-TALEGAON (BHO)
vilegaon2404,LATUR-DEONI-VILEGAON
wadmurambi2404,LATUR-DEONI-WADMURAMBI
walandi2404,LATUR-DEONI-WALANDI
wangadari2404,LATUR-DEONI-WANGADARI
atnoor2405,LATUR-JALKOT-ATNOOR
belsangavi2405,LATUR-JALKOT-BELSANGAVI
borgaon.kh2405,LATUR-JALKOT-BORGAON (KH)
chera2405,LATUR-JALKOT-CHERA
chincholi2405,LATUR-JALKOT-CHINCHOLI
dhamangaon2405,LATUR-JALKOT-DHAMANGAON
dhorsangvi2405,LATUR-JALKOT-DHORSANGVI
dongargaon2405,LATUR-JALKOT-DONGARGAON
ekurga.kh2405,LATUR-JALKOT-EKURGA (KH)
gavhan2405,LATUR-JALKOT-GAVHAN
ghonsi2405,LATUR-JALKOT-GHONSI
gutti2405,LATUR-JALKOT-GUTTI
haladwadawana2405,LATUR-JALKOT-HALADWADAWANA
hawarga2405,LATUR-JALKOT-HAWARGA
hokarna2405,LATUR-JALKOT-HOKARNA
jagalpur.bk2405,LATUR-JALKOT-JAGALPUR (BK)
jalkot2405,LATUR-JALKOT-JALKOT
karanji2405,LATUR-JALKOT-KARANJI
kekatsindgi2405,LATUR-JALKOT-KEKATSINDGI
kolnoor2405,LATUR-JALKOT-KOLNOOR
konalidongar2405,LATUR-JALKOT-KONALIDONGAR
kunaki2405,LATUR-JALKOT-KUNAKI
lali.bk2405,LATUR-JALKOT-LALI (BK)
lali.kh2405,LATUR-JALKOT-LALI (KH)
malhipparga2405,LATUR-JALKOT-MALHIPPARGA
mangarul2405,LATUR-JALKOT-MANGARUL
marsangvi2405,LATUR-JALKOT-MARSANGVI
mevapur2405,LATUR-JALKOT-MEVAPUR
patoda.bk2405,LATUR-JALKOT-PATODA (BK)
patoda.kh2405,LATUR-JALKOT-PATODA (KH)
rawankola2405,LATUR-JALKOT-RAWANKOLA
sheldara2405,LATUR-JALKOT-SHELDARA
shivajinagar2405,LATUR-JALKOT-SHIVAJINAGAR TANDA
sonwala2405,LATUR-JALKOT-SONWALA
sullali2405,LATUR-JALKOT-SULLALI
tiruka2405,LATUR-JALKOT-TIRUKA
umardara2405,LATUR-JALKOT-UMARDARA
umarga.retu2405,LATUR-JALKOT-UMARGA RETU
viral2405,LATUR-JALKOT-VIRAL
wadgaon2405,LATUR-JALKOT-WADGAON
wanjarwada2405,LATUR-JALKOT-WANJARWADA
yeldara2405,LATUR-JALKOT-YELDARA
yewari2405,LATUR-JALKOT-YEWARI
aakharwai2406,LATUR-LATUR-AAKHARWAI
aarvi2406,LATUR-LATUR-AARVI
ankoli2406,LATUR-LATUR-ANKOLI
babhalgaon2406,LATUR-LATUR-BABHALGAON
bamani2406,LATUR-LATUR-BAMANI
bhadgaon2406,LATUR-LATUR-BHADGAON
bhadi2406,LATUR-LATUR-BHADI
bhatangali2406,LATUR-LATUR-BHATANGALI
bhatkheda2406,LATUR-LATUR-BHATKHEDA
bhisewagholi2406,LATUR-LATUR-BHISEWAGHOLI
bhosa2406,LATUR-LATUR-BHOSA
bhoyara2406,LATUR-LATUR-BHOYARA
bhuisamudraga2406,LATUR-LATUR-BHUISAMUDRAGA
bindgihal2406,LATUR-LATUR-BINDGIHAL
bodkha2406,LATUR-LATUR-BODKHA
bokangaon2406,LATUR-LATUR-BOKANGAON
bopala2406,LATUR-LATUR-BOPALA
borgaon.bk2406,LATUR-LATUR-BORGAON (BK)
bori2406,LATUR-LATUR-BORI
borwati2406,LATUR-LATUR-BORWATI
chandeshwar2406,LATUR-LATUR-CHANDESHWAR
chata2406,LATUR-LATUR-CHATA
chikalthana2406,LATUR-LATUR-CHIKALTHANA
chikhurda2406,LATUR-LATUR-CHIKHURDA
chincholi.b2406,LATUR-LATUR-CHINCHOLI (B)
chincholirao2406,LATUR-LATUR-CHINCHOLIRAO
chincholiraowadi2406,LATUR-LATUR-CHINCHOLIRAOWADI
dhakni2406,LATUR-LATUR-DHAKNI
dhanegaon2406,LATUR-LATUR-DHANEGAON
dhanori2406,LATUR-LATUR-DHANORI
dhoki2406,LATUR-LATUR-DHOKI
ekuraga2406,LATUR-LATUR-EKURAGA
gadwad2406,LATUR-LATUR-GADWAD
gangapur2406,LATUR-LATUR-GANGAPUR
ganjoor2406,LATUR-LATUR-GANJOOR
gategaon2406,LATUR-LATUR-GATEGAON
gondegaon2406,LATUR-LATUR-GONDEGAON
gumfawadi2406,LATUR-LATUR-GUMFAWADI
harangul.bk2406,LATUR-LATUR-HARANGUL (BK)
harangul.kh2406,LATUR-LATUR-HARANGUL (KH)
hisori2406,LATUR-LATUR-HISORI
jawalga.bk2406,LATUR-LATUR-JAWALGA (BK)
jewali2406,LATUR-LATUR-JEWALI
kanadiborgaon2406,LATUR-LATUR-KANADIBORGAON
karkatta2406,LATUR-LATUR-KARKATTA
karsa2406,LATUR-LATUR-KARSA
kasargaon2406,LATUR-LATUR-KASARGAON
kasarjawalga2406,LATUR-LATUR-KASARJAWALGA
kasarkheda2406,LATUR-LATUR-KASARKHEDA
kategaon2406,LATUR-LATUR-KATEGAON
katpur2406,LATUR-LATUR-KATPUR
kavha2406,LATUR-LATUR-KAVHA
khadgaon2406,LATUR-LATUR-KHADGAON
khandala2406,LATUR-LATUR-KHANDALA
khandapur2406,LATUR-LATUR-KHANDAPUR
khopegaon2406,LATUR-LATUR-KHOPEGAON
khulgapur2406,LATUR-LATUR-KHULGAPUR
khuntefal2406,LATUR-LATUR-KHUNTEFAL
kolpa2406,LATUR-LATUR-KOLPA
mahapur2406,LATUR-LATUR-MAHAPUR
pratapnagar2406,LATUR-LATUR-MAHARANA PRATAP NAGAR
malwati2406,LATUR-LATUR-MALWATI
mamadapur2406,LATUR-LATUR-MAMADAPUR
manjari2406,LATUR-LATUR-MANJARI
masala2406,LATUR-LATUR-MASALA
matefal2406,LATUR-LATUR-MATEFAL
murud2406,LATUR-LATUR-MURUD
murud.akola2406,LATUR-LATUR-MURUD AKOLA
mushirabad2406,LATUR-LATUR-MUSHIRABAD
nagazari2406,LATUR-LATUR-NAGAZARI
nandgaon2406,LATUR-LATUR-NANDGAON
niwali2406,LATUR-LATUR-NIWALI
pakharsangvi2406,LATUR-LATUR-PAKHARSANGVI
peth2406,LATUR-LATUR-PETH
pimpalgaon2406,LATUR-LATUR-PIMPALGAON AMBA
pimpari2406,LATUR-LATUR-PIMPARI AMBA
raiwadi2406,LATUR-LATUR-RAIWADI
ramegaon2406,LATUR-LATUR-RAMEGAON
rameshwar2406,LATUR-LATUR-RAMESHWAR
ramjanpur2406,LATUR-LATUR-RAMJANPUR
ruidindegaon2406,LATUR-LATUR-RUIDINDEGAON
saiee2406,LATUR-LATUR-SAIEE
sakhara2406,LATUR-LATUR-SAKHARA
salgara.bk2406,LATUR-LATUR-SALGARA (BK)
salgara.kh2406,LATUR-LATUR-SALGARA (KH)
samangaon2406,LATUR-LATUR-SAMANGAON
sarola2406,LATUR-LATUR-SAROLA
sarsa2406,LATUR-LATUR-SARSA
sawargaon2406,LATUR-LATUR-SAWARGAON
selu.bk2406,LATUR-LATUR-SELU (BK)
shamnagar2406,LATUR-LATUR-SHAM NAGAR
shirala2406,LATUR-LATUR-SHIRALA
shiur2406,LATUR-LATUR-SHIUR
shivani.kh2406,LATUR-LATUR-SHIVANI (KH)
sikandarpur2406,LATUR-LATUR-SIKANDARPUR
sirsi2406,LATUR-LATUR-SIRSI
sonwati2406,LATUR-LATUR-SONWATI
takalgaon2406,LATUR-LATUR-TAKALGAON
takali.bk2406,LATUR-LATUR-TAKALI (BK)
takali.shirdhon2406,LATUR-LATUR-TAKALI (SHIRDHON)
tandulja2406,LATUR-LATUR-TANDULJA
tandulwadi2406,LATUR-LATUR-TANDULWADI
umarga2406,LATUR-LATUR-UMARGA
uti.kh2406,LATUR-LATUR-UTI (KH)
wadiwagholi2406,LATUR-LATUR-WADIWAGHOLI
wanjarkheda2406,LATUR-LATUR-WANJARKHEDA
warawanti2406,LATUR-LATUR-WARAWANTI
wasangaon2406,LATUR-LATUR-WASANGAON
yeli2406,LATUR-LATUR-YELI
ambewadi.m2407,LATUR-NILANGA-AMBEWADI (M)
ambulga.bk2407,LATUR-NILANGA-AMBULGA (BK)
ambulga.vi2407,LATUR-NILANGA-AMBULGA (VI)
ambulga.men2407,LATUR-NILANGA-AMBULGA MEN
anandwadi.abu2407,LATUR-NILANGA-ANANDWADI ABU
anandwadi2407,LATUR-NILANGA-ANANDWADI GAUR
ansarwada2407,LATUR-NILANGA-ANSARWADA
aundha2407,LATUR-NILANGA-AUNDHA
auradshahajani2407,LATUR-NILANGA-AURAD SHAHAJANI
badoor2407,LATUR-NILANGA-BADOOR
bamni2407,LATUR-NILANGA-BAMNI
baspur2407,LATUR-NILANGA-BASPUR
bedga`2407,LATUR-NILANGA-BEDGA`
bhootmugali2407,LATUR-NILANGA-BHOOTMUGALI
borsuri2407,LATUR-NILANGA-BORSURI
botkul2407,LATUR-NILANGA-BOTKUL
bujrukwadi2407,LATUR-NILANGA-BUJRUKWADI
chandori2407,LATUR-NILANGA-CHANDORI
chichondi2407,LATUR-NILANGA-CHICHONDI
chilwantwadi2407,LATUR-NILANGA-CHILWANTWADI
chincholi.b2407,LATUR-NILANGA-CHINCHOLI (B)
chincholi.s2407,LATUR-NILANGA-CHINCHOLI (S)
dadgi2407,LATUR-NILANGA-DADGI
dangewadi2407,LATUR-NILANGA-DANGEWADI
dapka2407,LATUR-NILANGA-DAPKA
dhanora2407,LATUR-NILANGA-DHANORA
dhoblewadi2407,LATUR-NILANGA-DHOBLEWADI
dongargaon.h2407,LATUR-NILANGA-DONGARGAON (H)
gaur2407,LATUR-NILANGA-GAUR
gunjarga2407,LATUR-NILANGA-GUNJARGA
gurhal2407,LATUR-NILANGA-GURHAL
hadga2407,LATUR-NILANGA-HADGA
hadoli2407,LATUR-NILANGA-HADOLI
halgara2407,LATUR-NILANGA-HALGARA
hallali2407,LATUR-NILANGA-HALLALI
halsi.tu2407,LATUR-NILANGA-HALSI (TU)
halsihattarga2407,LATUR-NILANGA-HALSIHATTARGA
hanchanal2407,LATUR-NILANGA-HANCHANAL
handral2407,LATUR-NILANGA-HANDRAL
hangarga.si2407,LATUR-NILANGA-HANGARGA (SI)
hanmantwadi.ab2407,LATUR-NILANGA-HANMANTWADI (AB)
hanmantwadi.h2407,LATUR-NILANGA-HANMANTWADI (H)
