nivagha2606,NANDED-HADGAON-GP-nivagha
shendan2606,NANDED-HADGAON-GP-shendan.dakayachiwadi
ekarala2606,NANDED-HADGAON-GP-ekarala
loha2606,NANDED-HADGAON-GP-loha
kondhur2606,NANDED-HADGAON-GP-kondhur 
pimparala2606,NANDED-HADGAON-GP-pimparala
digars2606,NANDED-HADGAON-GP-digars
mandwa2606,NANDED-HADGAON-GP-mandwa
jambhala2606,NANDED-HADGAON-GP-jambhala
halegaon2606,NANDED-HADGAON-GP-halegaon.malegaon
dhanayachiwadi2606,NANDED-HADGAON-GP-dhanayachiwadi
thakarwadi2606,NANDED-HADGAON-GP-thakarwadi
chabharatanda2606,NANDED-HADGAON-GP-chabharatanda
manatha2606,NANDED-HADGAON-GP-manatha
jagapur.gaitond2606,NANDED-HADGAON-GP-jagapur.gaitond
talang2606,NANDED-HADGAON-GP-talang
unchada2606,NANDED-HADGAON-GP-unchada
koli2606,NANDED-HADGAON-GP-koli
nevrwadi2606,NANDED-HADGAON-GP-nevrwadi
mardga2606,NANDED-HADGAON-GP-mardga
shibdara.m2606,NANDED-HADGAON-GP-shibdara.m
karmodi2606,NANDED-HADGAON-GP-karmodi
nevri2606,NANDED-HADGAON-GP-nevri
chabhara2606,NANDED-HADGAON-GP-chabhara 
warwat2606,NANDED-HADGAON-GP-warwat.jambhalswali
nimgaon2606,NANDED-HADGAON-GP-nimgaon
sawargaon2606,NANDED-HADGAON-GP-sawargaon
chormba2606,NANDED-HADGAON-GP-chormba (n) deshmukh
kharigaon.m2606,NANDED-HADGAON-GP-kharigaon.m
rodgi2606,NANDED-HADGAON-GP-rodgi
sonala2606,NANDED-HADGAON-GP-sonala
kankaychiwadi2606,NANDED-HADGAON-GP-kankaychiwadi
dhotra2606,NANDED-HADGAON-GP-dhotra
anmal2611,NANDED-MAHUR-GP-anmal
digdi.dha2611,NANDED-MAHUR-GP-digdi.dha
anjankhed2611,NANDED-MAHUR-GP-anjankhed
asta2611,NANDED-MAHUR-GP-asta
gokulgondegaon2611,NANDED-MAHUR-GP-gokulgondegaon
papalwadi2611,NANDED-MAHUR-GP-papalwadi
karanji2611,NANDED-MAHUR-GP-karanji
padsa2611,NANDED-MAHUR-GP-padsa
wadsa2611,NANDED-MAHUR-GP-wadsa
umra2611,NANDED-MAHUR-GP-umra
murli2611,NANDED-MAHUR-GP-murli
sayfal2611,NANDED-MAHUR-GP-sayfal
asoli2611,NANDED-MAHUR-GP-asoli
takli2611,NANDED-MAHUR-GP-takli
mpardi2611,NANDED-MAHUR-GP-mpardi
tulsitanda2611,NANDED-MAHUR-GP-tulsitanda
hingni2611,NANDED-MAHUR-GP-hingni
malkaguda2611,NANDED-MAHUR-GP-malkaguda
hardaf2611,NANDED-MAHUR-GP-hardaf
ruplanaiktanda2611,NANDED-MAHUR-GP-ruplanaiktanda
dattamanjri2611,NANDED-MAHUR-GP-dattamanjri
lanji2611,NANDED-MAHUR-GP-lanji
lakhmapur2611,NANDED-MAHUR-GP-lakhmapur
pawnala2611,NANDED-MAHUR-GP-pawnala
sindhakhed2611,NANDED-MAHUR-GP-sindhakhed
hadsani2611,NANDED-MAHUR-GP-hadsani
waibazar2611,NANDED-MAHUR-GP-waibazar
pachunda2611,NANDED-MAHUR-GP-pachunda
chorad2611,NANDED-MAHUR-GP-chorad
wanola2611,NANDED-MAHUR-GP-wanola
gondwadsa2611,NANDED-MAHUR-GP-gondwadsa
madnapur2611,NANDED-MAHUR-GP-madnapur
gokunda2608,NANDED-KINWAT-GP-gokunda
digdi2608,NANDED-KINWAT-GP-digdi
ghoti2608,NANDED-KINWAT-GP-ghoti
islapur2608,NANDED-KINWAT-GP-islapur
shivni2608,NANDED-KINWAT-GP-shivni
aamdi2608,NANDED-KINWAT-GP-aamdi
vazara.bu2608,NANDED-KINWAT-GP-vazara.bu
pardi2608,NANDED-KINWAT-GP-pardi
mandvi2608,NANDED-KINWAT-GP-mandvi
dhabhadi2608,NANDED-KINWAT-GP-dhabhadi
umari.ba2608,NANDED-KINWAT-GP-umari.ba
andbori.chi2608,NANDED-KINWAT-GP-andbori.chi
bhodhadi.bk2608,NANDED-KINWAT-GP-bhodhadi.bk
bhisi2608,NANDED-KINWAT-GP-bhisi
mohapur2608,NANDED-KINWAT-GP-mohapur
kamthala2608,NANDED-KINWAT-GP-kamthala
malakajam2608,NANDED-KINWAT-GP-malakajam.tanda
sindgi.mo2608,NANDED-KINWAT-GP-sindgi.mo
mandwa2608,NANDED-KINWAT-GP-mandwa
pandhara2608,NANDED-KINWAT-GP-pandhara
bellori.dhaa2608,NANDED-KINWAT-GP-bellori.dhaa
sarkhani2608,NANDED-KINWAT-GP-sarkhani
both2608,NANDED-KINWAT-GP-both
bhimpur2608,NANDED-KINWAT-GP-bhimpur 
pradhansangvi2608,NANDED-KINWAT-GP-pradhansangvi
maregano.varche2608,NANDED-KINWAT-GP-maregano.varche
singarwadi2608,NANDED-KINWAT-GP-singarwadi
gaouri.tanda2608,NANDED-KINWAT-GP-gaouri.tanda
nichpur2608,NANDED-KINWAT-GP-nichpur
kolhari2608,NANDED-KINWAT-GP-kolhari
devlanaiktanda2608,NANDED-KINWAT-GP-devlanaiktanda
malakapur2608,NANDED-KINWAT-GP-malakapur
palshi2608,NANDED-KINWAT-GP-palshi
chikhali2608,NANDED-KINWAT-GP-chikhali
kothari.chi2608,NANDED-KINWAT-GP-kothari.chi
malakajam2608,NANDED-KINWAT-GP-malakajam
malkolhari2608,NANDED-KINWAT-GP-malkolhari
singoda2608,NANDED-KINWAT-GP-singoda
dundra2608,NANDED-KINWAT-GP-dundra
daheli2608,NANDED-KINWAT-GP-daheli
pimpalgaon2608,NANDED-KINWAT-GP-pimpalgaon
nagzari2608,NANDED-KINWAT-GP-nagzari
anji2608,NANDED-KINWAT-GP-anji
savari2608,NANDED-KINWAT-GP-savari
pathari2608,NANDED-KINWAT-GP-pathari
